COUNTYFP,NAME,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR,NEIGHBORS,NEIGHBOR
"031",NORTHFIELD 18,"672","247","43","11","14","506","447","15","9","2","440","490","16","16","NORTHFIELD 32,NORTHFIELD 14,NORTHFIELD 46,NORTHFIELD 2,NORTHFIELD 11,NORTHFIELD 49,NORTHFIELD 20,NORTHFIELD 34","NORTHFIELD 32 31,NORTHFIELD 14 31,NORTHFIELD 46 31,NORTHFIELD 2 31,NORTHFIELD 11 31,NORTHFIELD 49 31,NORTHFIELD 20 31,NORTHFIELD 34 31"
"031",NORTHFIELD 12,"655","423","63","14","23","506","631","25","19","2","418","690","37","12","NORTHFIELD 19,NORTHFIELD 6,NORTHFIELD 24,NORTHFIELD 30,NORTHFIELD 35,NORTHFIELD 31,NORTHFIELD 52","NORTHFIELD 19 31,NORTHFIELD 6 31,NORTHFIELD 24 31,NORTHFIELD 30 31,NORTHFIELD 35 31,NORTHFIELD 31 31,NORTHFIELD 52 31"
"031",NORTHFIELD 42,"340","260","29","7","15","301","337","11","8","0","232","378","20","10","NORTHFIELD 53,NORTHFIELD 20,NORTHFIELD 51,NORTHFIELD 7,NORTHFIELD 56,NORTHFIELD 8,NORTHFIELD 23,NORTHFIELD 52","NORTHFIELD 53 31,NORTHFIELD 20 31,NORTHFIELD 51 31,NORTHFIELD 7 31,NORTHFIELD 56 31,NORTHFIELD 8 31,NORTHFIELD 23 31,NORTHFIELD 52 31"
"031",NORTHFIELD 16,"578","249","34","6","13","424","429","12","10","0","384","447","15","8","NORTHFIELD 47,NORTHFIELD 54,NORTHFIELD 22,NORTHFIELD 17,NORTHFIELD 32,WHEELING 76,WHEELING 67,NORTHFIELD 49,NORTHFIELD 50","NORTHFIELD 47 31,NORTHFIELD 54 31,NORTHFIELD 22 31,NORTHFIELD 17 31,NORTHFIELD 32 31,WHEELING 76 31,WHEELING 67 31,NORTHFIELD 49 31,NORTHFIELD 50 31"
"031",NORTHFIELD 48,"428","257","34","7","9","325","379","13","9","1","266","408","24","15","NORTHFIELD 41,NORTHFIELD 10,NORTHFIELD 25,NORTHFIELD 51,NORTHFIELD 13,NORTHFIELD 57","NORTHFIELD 41 31,NORTHFIELD 10 31,NORTHFIELD 25 31,NORTHFIELD 51 31,NORTHFIELD 13 31,NORTHFIELD 57 31"
"031",NORTHFIELD 17,"451","180","15","6","11","337","292","9","9","1","307","295","15","10","NORTHFIELD 16,NORTHFIELD 32,NORTHFIELD 36,NORTHFIELD 60,NORTHFIELD 49,NORTHFIELD 50","NORTHFIELD 16 31,NORTHFIELD 32 31,NORTHFIELD 36 31,NORTHFIELD 60 31,NORTHFIELD 49 31,NORTHFIELD 50 31"
"031",NORTHFIELD 43,"551","193","16","1","13","429","319","6","8","1","386","332","12","9","NORTHFIELD 50,NORTHFIELD 41,NORTHFIELD 53,NORTHFIELD 20,NORTHFIELD 34,NORTHFIELD 61,NORTHFIELD 13","NORTHFIELD 50 31,NORTHFIELD 41 31,NORTHFIELD 53 31,NORTHFIELD 20 31,NORTHFIELD 34 31,NORTHFIELD 61 31,NORTHFIELD 13 31"
"031",NORTHFIELD 21,"651","314","49","16","39","514","505","21","17","2","405","584","26","28","NORTHFIELD 44,NORTHFIELD 38,MAINE 44,MAINE 31,MAINE 74,NORTHFIELD 24,NORTHFIELD 30","NORTHFIELD 44 31,NORTHFIELD 38 31,MAINE 44 31,MAINE 31 31,MAINE 74 31,NORTHFIELD 24 31,NORTHFIELD 30 31"
"031",NORTHFIELD 28,"720","330","46","13","27","588","501","24","14","0","508","534","27","23","NORTHFIELD 40,NORTHFIELD 15,NORTHFIELD 45,NEW TRIER 4,NEW TRIER 2,NORTHFIELD 55,NORTHFIELD 8","NORTHFIELD 40 31,NORTHFIELD 15 31,NORTHFIELD 45 31,NEW TRIER 4 31,NEW TRIER 2 31,NORTHFIELD 55 31,NORTHFIELD 8 31"
"031",NORTHFIELD 23,"278","227","37","4","12","186","360","10","5","0","144","393","14","5","NORTHFIELD 20,NORTHFIELD 56,NORTHFIELD 35,NORTHFIELD 37,NORTHFIELD 8,NORTHFIELD 9,NORTHFIELD 42,NORTHFIELD 31","NORTHFIELD 20 31,NORTHFIELD 56 31,NORTHFIELD 35 31,NORTHFIELD 37 31,NORTHFIELD 8 31,NORTHFIELD 9 31,NORTHFIELD 42 31,NORTHFIELD 31 31"
"031",NORTHFIELD 24,"408","222","40","8","16","303","351","16","11","1","255","369","15","18","MAINE 44,NILES 11,NORTHFIELD 21,NORTHFIELD 19,NORTHFIELD 12,NORTHFIELD 30","MAINE 44 31,NILES 11 31,NORTHFIELD 21 31,NORTHFIELD 19 31,NORTHFIELD 12 31,NORTHFIELD 30 31"
"031",NORTHFIELD 55,"515","119","12","3","3","422","210","7","4","1","372","217","16","15","Moraine 223,Moraine 218,Moraine 220,NORTHFIELD 40,NEW TRIER 2,NORTHFIELD 28","Moraine 223 97,Moraine 218 97,Moraine 220 97,NORTHFIELD 40 31,NEW TRIER 2 31,NORTHFIELD 28 31"
"031",NORTHFIELD 29,"413","177","30","7","13","295","329","6","6","0","270","322","12","12","NORTHFIELD 62,NORTHFIELD 58,NORTHFIELD 26,NORTHFIELD 46,NORTHFIELD 2,NORTHFIELD 45","NORTHFIELD 62 31,NORTHFIELD 58 31,NORTHFIELD 26 31,NORTHFIELD 46 31,NORTHFIELD 2 31,NORTHFIELD 45 31"
"031",NORTHFIELD 30,"487","228","51","6","30","372","407","14","6","1","280","466","24","12","NORTHFIELD 44,NORTHFIELD 51,NORTHFIELD 7,NORTHFIELD 21,NORTHFIELD 19,NORTHFIELD 12,NORTHFIELD 24,NORTHFIELD 52","NORTHFIELD 44 31,NORTHFIELD 51 31,NORTHFIELD 7 31,NORTHFIELD 21 31,NORTHFIELD 19 31,NORTHFIELD 12 31,NORTHFIELD 24 31,NORTHFIELD 52 31"
"031",NORTHFIELD 40,"274","193","13","7","7","230","235","10","5","0","200","247","13","9","Moraine 218,NORTHFIELD 58,NORTHFIELD 26,NORTHFIELD 15,West Deerfield 401,NORTHFIELD 28,NORTHFIELD 55","Moraine 218 97,NORTHFIELD 58 31,NORTHFIELD 26 31,NORTHFIELD 15 31,West Deerfield 401 97,NORTHFIELD 28 31,NORTHFIELD 55 31"
"031",NORTHFIELD 31,"493","370","55","10","21","384","522","17","16","3","309","578","21","18","NORTHFIELD 12,NORTHFIELD 56,NORTHFIELD 35,NORTHFIELD 23,NORTHFIELD 52","NORTHFIELD 12 31,NORTHFIELD 56 31,NORTHFIELD 35 31,NORTHFIELD 23 31,NORTHFIELD 52 31"
"031",NORTHFIELD 54,"459","106","9","6","8","357","213","8","4","0","321","230","7","4","Vernon 287,West Deerfield 390,NORTHFIELD 3,NORTHFIELD 47,West Deerfield 399,West Deerfield 398,NORTHFIELD 16,WHEELING 76,WHEELING 67","Vernon 287 97,West Deerfield 390 97,NORTHFIELD 3 31,NORTHFIELD 47 31,West Deerfield 399 97,West Deerfield 398 97,NORTHFIELD 16 31,WHEELING 76 31,WHEELING 67 31"
"031",NORTHFIELD 32,"679","321","39","16","21","542","493","12","13","0","460","534","16","21","NORTHFIELD 3,NORTHFIELD 22,NORTHFIELD 16,NORTHFIELD 17,NORTHFIELD 62,NORTHFIELD 18,NORTHFIELD 2,NORTHFIELD 49","NORTHFIELD 3 31,NORTHFIELD 22 31,NORTHFIELD 16 31,NORTHFIELD 17 31,NORTHFIELD 62 31,NORTHFIELD 18 31,NORTHFIELD 2 31,NORTHFIELD 49 31"
"031",NORTHFIELD 57,"310","177","17","12","2","249","239","8","12","1","217","249","10","23","NORTHFIELD 25,NORTHFIELD 48,NORTHFIELD 59,NORTHFIELD 33,NORTHFIELD 13,NORTHFIELD 5","NORTHFIELD 25 31,NORTHFIELD 48 31,NORTHFIELD 59 31,NORTHFIELD 33 31,NORTHFIELD 13 31,NORTHFIELD 5 31"
"031",NORTHFIELD 33,"309","193","10","5","3","259","222","14","16","0","248","206","13","21","NORTHFIELD 39,NORTHFIELD 27,NORTHFIELD 59,NORTHFIELD 57,NORTHFIELD 5,MAINE 86,NORTHFIELD 1,NORTHFIELD 4","NORTHFIELD 39 31,NORTHFIELD 27 31,NORTHFIELD 59 31,NORTHFIELD 57 31,NORTHFIELD 5 31,MAINE 86 31,NORTHFIELD 1 31,NORTHFIELD 4 31"
"031",NORTHFIELD 50,"565","327","34","12","11","388","510","17","14","1","364","493","19","16","NORTHFIELD 16,NORTHFIELD 17,WHEELING 76,NORTHFIELD 11,NORTHFIELD 36,NORTHFIELD 60,WHEELING 29,NORTHFIELD 43,NORTHFIELD 34,NORTHFIELD 27,WHEELING 77,NORTHFIELD 61","NORTHFIELD 16 31,NORTHFIELD 17 31,WHEELING 76 31,NORTHFIELD 11 31,NORTHFIELD 36 31,NORTHFIELD 60 31,WHEELING 29 31,NORTHFIELD 43 31,NORTHFIELD 34 31,NORTHFIELD 27 31,WHEELING 77 31,NORTHFIELD 61 31"
"031",NORTHFIELD 34,"343","207","32","2","6","257","318","3","4","0","179","355","13","10","NORTHFIELD 18,NORTHFIELD 11,NORTHFIELD 49,NORTHFIELD 50,NORTHFIELD 43,NORTHFIELD 20","NORTHFIELD 18 31,NORTHFIELD 11 31,NORTHFIELD 49 31,NORTHFIELD 50 31,NORTHFIELD 43 31,NORTHFIELD 20 31"
"031",NORTHFIELD 59,"467","231","27","5","9","383","321","14","11","1","348","325","23","14","NORTHFIELD 39,NORTHFIELD 27,NORTHFIELD 61,NORTHFIELD 33,NORTHFIELD 13,NORTHFIELD 57","NORTHFIELD 39 31,NORTHFIELD 27 31,NORTHFIELD 61 31,NORTHFIELD 33 31,NORTHFIELD 13 31,NORTHFIELD 57 31"
"031",NORTHFIELD 36,"332","185","22","5","5","253","262","11","8","0","231","267","6","13","NORTHFIELD 17,NORTHFIELD 11,NORTHFIELD 60,NORTHFIELD 49,NORTHFIELD 50","NORTHFIELD 17 31,NORTHFIELD 11 31,NORTHFIELD 60 31,NORTHFIELD 49 31,NORTHFIELD 50 31"
